,post_uuid,user_uuid,influence_power,user_follower_count,user_influencer_tier,post_crosspost_count,post_quote_count,post_like_count,post_dislike_count,post_reply_count,post_engagement_count,mentions,hashtags,url_count,string_token_count,pii_token_count,risk_score,pii_detected,pii_disclosed,post_uuids_replied_to,time_elapsed,collection_name,is_comment,is_text_starter,timestamp,cluster_name,urls
0,e06aea34-8077-4acd-8278-d0a90d044ad1,b93dfe85-aee4-4f07-9b55-62a893c4c260,0.6971082196181515,6492,NANO_INFLUENCER,2,,9579,0,184,9765,[],[],0,1,0,1.0,False,[],[],0,top_conversations_2023-09-18,False,False,2023-09-18 04:51:18,top_conversations_2023-09-18_graph-16,[]
1,7ffb6b99-6afe-4cab-b35b-092dc92d2dfb,f2dec667-f72c-4c30-885e-8de07dd66f50,0.1015695085820726,9515,NANO_INFLUENCER,0,,1,0,0,1,[],[],0,75,0,1.0,False,[],['e06aea34-8077-4acd-8278-d0a90d044ad1'],4023,top_conversations_2023-09-18,True,True,2023-09-18 05:58:21,top_conversations_2023-09-18_graph-16,[]
2,ec4270c4-de9b-46c2-a0c1-471e936d7685,5ef06481-bfee-4683-b029-4959bf522b9d,0.14074468788827252,992,NON_INFLUENCER,0,,2250,0,13,2263,[],[],0,14,0,1.0,False,[],['e06aea34-8077-4acd-8278-d0a90d044ad1'],280,top_conversations_2023-09-18,True,True,2023-09-18 04:55:58,top_conversations_2023-09-18_graph-16,[]
3,189643a7-0166-45d3-9a82-6179d6499392,b93dfe85-aee4-4f07-9b55-62a893c4c260,0.11375012170965845,6492,NANO_INFLUENCER,0,,587,0,5,592,[],[],0,12,0,1.0,False,[],['e06aea34-8077-4acd-8278-d0a90d044ad1'],3510,top_conversations_2023-09-18,True,True,2023-09-18 05:49:48,top_conversations_2023-09-18_graph-16,[]
4,bd827d3a-536d-4625-96ba-d029b3f4b096,12207fd0-3f60-4d5b-9eae-e528ac89bd7d,0.12248455033923195,40,NON_INFLUENCER,0,,657,0,8,665,[],[],0,17,1,3.0,True,['PERSON'],['e06aea34-8077-4acd-8278-d0a90d044ad1'],774,top_conversations_2023-09-18,True,True,2023-09-18 05:04:12,top_conversations_2023-09-18_graph-16,[]
5,c2509680-fcc5-4641-9c04-0f8a7469e99f,1c445e23-4126-461a-b66d-f4bfd4bb7655,0.1194287086280219,19,NON_INFLUENCER,0,,137,0,7,144,[],[],0,20,1,3.0,True,['PERSON'],['e06aea34-8077-4acd-8278-d0a90d044ad1'],1639,top_conversations_2023-09-18,True,True,2023-09-18 05:18:37,top_conversations_2023-09-18_graph-16,[]
6,61eac7b0-9d61-4280-b9d4-231c718c83bd,b93dfe85-aee4-4f07-9b55-62a893c4c260,0.10382235359559176,6492,NANO_INFLUENCER,0,,388,0,1,389,[],[],0,4,0,1.0,False,[],['e06aea34-8077-4acd-8278-d0a90d044ad1'],136,top_conversations_2023-09-18,True,True,2023-09-18 04:53:34,top_conversations_2023-09-18_graph-16,[]
7,7a93cb4f-6040-4917-b7b2-eed35ae0f354,42c05743-4666-4437-9aeb-3fc33fa112e6,0.1015695085820726,16,NON_INFLUENCER,0,,27,0,0,27,[],[],0,1,1,3.0,True,['PERSON'],['e06aea34-8077-4acd-8278-d0a90d044ad1'],1336,top_conversations_2023-09-18,True,True,2023-09-18 05:13:34,top_conversations_2023-09-18_graph-16,[]
8,fd0f1ba8-9a4a-436e-9f34-defdf50a4bac,9a34c256-4071-40c7-a1b2-dca3fcfcdd1a,0.1038212463594894,12,NON_INFLUENCER,0,,55,0,1,56,[],[],0,22,1,3.0,True,['PERSON'],['e06aea34-8077-4acd-8278-d0a90d044ad1'],401,top_conversations_2023-09-18,True,True,2023-09-18 04:57:59,top_conversations_2023-09-18_graph-16,[]
9,88fc6081-43ca-43d7-bd01-08821fcac273,12027364-b4ff-4783-b882-8711683863fb,0.1038212463594894,16,NON_INFLUENCER,0,,52,0,1,53,[],[],0,1,1,3.0,True,['PERSON'],['e06aea34-8077-4acd-8278-d0a90d044ad1'],1917,top_conversations_2023-09-18,True,True,2023-09-18 05:23:15,top_conversations_2023-09-18_graph-16,[]
