,post_uuid,user_uuid,influence_power,user_follower_count,user_following_count,user_rff_score,user_influencer_tier,post_retweet_count,post_quote_count,post_like_count,post_reply_count,post_impression_count,post_engagement_count,mentions,hashtags,url_count,string_token_count,pii_token_count,risk_score,pii_detected,pii_disclosed,post_uuids_replied_to,post_uuids_quoted,in_reply_to_user_uuid,is_comment,is_text_starter,time_elapsed,collection_name,timestamp,cluster_name,urls
15,9015874f-b3a7-4a9b-9666-cfe0305f3cca,f08732b4-93f7-413a-93de-28d2fe837a5e,1.0,11351,7994,1.4199399549662246,MICRO_INFLUENCER,0,0,0,0,2,0,[],[],2,17,1,2.0,True,['PERSON'],[],[],,False,True,0,Ferrari_2023-06-11,2023-06-11 15:38:34,Ferrari_2023-06-11_graph-351,[]
16,be4396cb-cd97-493b-bb3c-62df06b94534,558c8a23-19b7-4d56-beae-dd7568bfd3ac,1.0,581,582,0.9982817869415808,NON_INFLUENCER,0,0,0,0,7,0,[],[],0,18,3,2.0,True,"['DATE_TIME', 'PERSON', 'LOCATION']",[],[],,False,True,0,Ferrari_2023-06-11,2023-06-11 15:38:33,Ferrari_2023-06-11_graph-352,[]
17,665cd35b-3c25-422b-9a6f-abd95bd6722d,c12a957d-d42d-4799-ac3f-2ab245170776,1.0,246,657,0.3744292237442922,NON_INFLUENCER,1,0,1,0,4,2,[],[],1,11,1,1.25,True,['LOCATION'],[],[],,False,True,0,Ferrari_2023-06-11,2023-06-11 15:38:25,Ferrari_2023-06-11_graph-353,[]
18,17f2eb74-0bfe-4120-b8b9-da558f3c60b1,fe426038-e82c-45d4-b046-6d91708893cd,1.0,2192,1001,2.18981018981019,NANO_INFLUENCER,0,0,0,0,7,0,[],[],0,9,2,1.75,True,"['DATE_TIME', 'LOCATION']",[],[],,False,True,0,Ferrari_2023-06-11,2023-06-11 15:38:19,Ferrari_2023-06-11_graph-354,[]
19,efd3db66-7b40-477f-8943-b60189289401,5032179d-9b19-4819-8a78-8677b41f26bd,1.0,55,235,0.23404255319148937,NON_INFLUENCER,0,0,0,0,4,0,[],[],0,4,3,2.25,True,"['PERSON', 'LOCATION']",[],[],,False,True,0,Ferrari_2023-06-11,2023-06-11 15:37:47,Ferrari_2023-06-11_graph-355,[]
20,56e33f64-a18a-44a5-9de2-7545e146c7eb,6f4c392f-4772-4982-9633-14da8b997e61,1.0,5,103,0.04854368932038835,NON_INFLUENCER,0,0,0,0,30,0,[],[],0,16,3,3.0,True,['PERSON'],[],[],,False,True,0,Ferrari_2023-06-11,2023-06-11 15:37:20,Ferrari_2023-06-11_graph-356,[]
21,797a8418-79d4-47f5-8164-a50107b20a0c,f93442a2-dbd8-4a11-b624-190b56c9cbb9,1.0,109,173,0.630057803468208,NON_INFLUENCER,0,0,0,0,0,0,[],[],0,11,2,1.75,True,"['DATE_TIME', 'LOCATION']",[],[],,False,True,0,Ferrari_2023-06-11,2023-06-11 15:37:17,Ferrari_2023-06-11_graph-357,[]
22,f0a9c38e-7091-4085-8ce0-8d2c3df57b9d,df62a041-891a-481b-9f34-e59c9f39c795,1.0,6,79,0.0759493670886076,NON_INFLUENCER,0,0,0,0,5,0,[],[],1,9,3,2.25,True,"['DATE_TIME', 'PERSON', 'LOCATION']",[],[],,False,True,0,Ferrari_2023-06-11,2023-06-11 15:37:17,Ferrari_2023-06-11_graph-358,[]
23,3f7ccd6d-2038-4887-9f67-b092dad2e53c,f3619c3a-8f8b-4644-a9b5-137e4d5cb73b,1.0,9683,1,9683.0,NANO_INFLUENCER,0,0,0,0,13,0,[],[],1,16,2,1.75,True,"['DATE_TIME', 'LOCATION']",[],[],,False,True,0,Ferrari_2023-06-11,2023-06-11 15:37:02,Ferrari_2023-06-11_graph-359,[]
24,f89245a9-8657-4a41-9f26-42c36efc97bb,d60bc087-715d-4488-b4a1-7c5a2dfa804a,1.0,184,291,0.6323024054982818,NON_INFLUENCER,0,0,0,1,17,1,[],[],0,13,3,2.0,True,"['LOCATION', 'NRP']",[],[],,False,True,0,Ferrari_2023-06-11,2023-06-11 15:36:27,Ferrari_2023-06-11_graph-360,[]
